product_id,date_type,research_date,price
1003,m,2016-09-01,4888.0
1003,m,2016-10-01,4895.0
1003,m,2016-11-01,5939.0
1003,m,2016-12-01,7514.0
1003,m,2017-01-01,7907.0
1003,m,2017-02-01,7680.0
1003,m,2017-03-01,7747.0
1003,m,2017-04-01,7889.0
1003,m,2017-05-01,8318.0
1003,m,2017-06-01,8620.0
1003,m,2017-07-01,8787.0
1003,m,2017-08-01,8928.0
1003,m,2017-09-01,9191.0
1003,m,2017-10-01,9142.0
1003,m,2017-11-01,8438.0
1003,m,2017-12-01,7754.0
1003,m,2018-01-01,7764.0
1003,m,2018-02-01,7738.0
1003,m,2018-03-01,7602.0
1003,m,2018-04-01,7718.0
1003,m,2018-05-01,7606.0
1003,m,2018-06-01,7616.0
1003,m,2018-07-01,7622.0
1003,m,2018-08-01,7623.0
1003,m,2018-09-01,7657.0
1003,m,2018-10-01,7763.0
1003,m,2018-11-01,7967.0
1003,m,2018-12-01,8159.0
1003,m,2019-01-01,8500.0
1003,m,2019-02-01,8674.0
1003,m,2019-03-01,8703.0
1003,m,2019-04-01,8761.0
1003,m,2019-05-01,8771.0
1003,m,2019-06-01,8647.0
1003,m,2019-07-01,8469.0
1003,m,2019-08-01,7772.0
1003,m,2019-09-01,7666.0
1003,m,2019-10-01,7639.0
1003,m,2019-11-01,7550.0
1003,m,2019-12-01,7246.0
1003,m,2020-01-01,7267.0
1003,m,2020-02-01,7146.0
1003,m,2020-03-01,7908.0
1003,m,2020-04-01,7763.0
1003,m,2020-05-01,7755.0
1003,m,2020-06-01,7210.0
1003,m,2020-07-01,7106.0
1003,m,2020-08-01,7154.0
1003,m,2020-09-01,7171.0
1003,m,2020-10-01,7205.0
1003,m,2020-11-01,8158.0
1003,m,2020-12-01,8866.0
1003,m,2021-01-01,9021.0
1003,m,2021-02-01,9027.0
1003,m,2021-03-01,8936.0
1003,m,2021-04-01,9115.0
1003,m,2021-05-01,9031.0
1003,m,2021-06-01,9013.0
1003,m,2021-07-01,8940.0
1003,m,2021-08-01,8942.0
1003,m,2021-09-01,8992.0
1003,m,2021-10-01,8968.0
1003,m,2021-11-01,8558.0
1003,m,2021-12-01,8146.0
1003,m,2022-01-01,7744.0
1003,m,2022-02-01,7712.0
1003,m,2022-03-01,8438.0
1003,m,2022-04-01,8272.0
1003,m,2022-05-01,8154.0
1003,m,2022-06-01,7626.0
1003,m,2022-07-01,7539.0
1003,m,2022-08-01,7634.0
1003,m,2022-09-01,7650.0
1003,m,2022-10-01,7650.0
1003,m,2022-11-01,7650.0
1003,m,2022-12-01,7650.0
1004,m,2012-01-01,7900.0
1004,m,2012-02-01,8350.0
1004,m,2012-03-01,8356.0
1004,m,2012-04-01,8347.0
1004,m,2012-05-01,8528.0
1004,m,2012-06-01,8616.0
1004,m,2012-07-01,8718.0
1004,m,2012-08-01,8709.0
1004,m,2012-09-01,8644.0
1004,m,2012-10-01,8324.0
1004,m,2012-11-01,8162.0
1004,m,2012-12-01,8001.0
1004,m,2013-01-01,8001.0
1004,m,2013-02-01,8001.0
1004,m,2013-03-01,8001.0
1004,m,2013-04-01,7825.0
1004,m,2013-05-01,8014.0
1004,m,2013-06-01,8199.0
1004,m,2013-07-01,8204.0
1004,m,2013-08-01,8204.0
1004,m,2013-09-01,7905.0
1004,m,2013-10-01,7540.0
1004,m,2013-11-01,7296.0
1004,m,2013-12-01,7136.0
1004,m,2014-01-01,6980.0
1004,m,2014-02-01,6923.0
1004,m,2014-03-01,6830.0
1004,m,2014-04-01,6830.0
1004,m,2014-05-01,6794.0
1004,m,2014-06-01,6720.0
1004,m,2014-07-01,6705.0
1004,m,2014-08-01,6834.0
1004,m,2014-09-01,7040.0
1004,m,2014-10-01,6736.0
1004,m,2014-11-01,6433.0
1004,m,2014-12-01,6372.0
